step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.37162973880767824,0.166
2,0.0004999996915749259,2,0.33382578976949057,0.264
3,0.0004999987663004646,3,0.31368961906433107,0.324
4,0.000499997224178899,4,0.2889386196136475,0.378
5,0.0004999950652140343,5,0.274372637907664,0.406
6,0.0004999922894111975,6,0.2502117188771566,0.494
7,0.0004999888967772375,7,0.23496391248703002,0.502
8,0.0004999848873205254,8,0.22212082878748576,0.506
9,0.0004999802610509541,9,0.21114640728632608,0.542
10,0.0004999750179799384,10,0.20623760191599527,0.576
11,0.0004999691581204152,11,0.1897853404680888,0.61
12,0.000499962681486843,12,0.18351769161224366,0.622
13,0.0004999555880952023,13,0.16811781899134318,0.678
14,0.0004999478779629953,14,0.1622158033847809,0.688
15,0.000499939551109246,15,0.15040097618103027,0.708
