step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.3779406255086263,0.17
2,0.0004999996915749259,2,0.3565603758494059,0.284
3,0.0004999987663004646,3,0.3410895241101583,0.328
4,0.000499997224178899,4,0.3274156243006388,0.34
5,0.0004999950652140343,5,0.31296600182851153,0.392
6,0.0004999922894111975,6,0.2989312235514323,0.442
7,0.0004999888967772375,7,0.2897227099736532,0.48
8,0.0004999848873205254,8,0.2781539479891459,0.496
9,0.0004999802610509541,9,0.26918302377065023,0.518
10,0.0004999750179799384,10,0.2618143267631531,0.518
11,0.0004999691581204152,11,0.2513464970588684,0.578
12,0.000499962681486843,12,0.24334196996688842,0.572
13,0.0004999555880952023,13,0.23508308617273965,0.59
14,0.0004999478779629953,14,0.22757500902811686,0.624
15,0.000499939551109246,15,0.21824080355962117,0.656
