step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.37498711395263673,0.164
2,0.0004999996915749259,2,0.34732157468795777,0.276
3,0.0004999987663004646,3,0.3300751110712687,0.332
4,0.000499997224178899,4,0.3139472025235494,0.35
5,0.0004999950652140343,5,0.29777163728078204,0.422
6,0.0004999922894111975,6,0.2807459020614624,0.468
7,0.0004999888967772375,7,0.2678411367734273,0.49
8,0.0004999848873205254,8,0.2539917565981547,0.518
9,0.0004999802610509541,9,0.2413474424680074,0.558
10,0.0004999750179799384,10,0.23198882754643757,0.576
11,0.0004999691581204152,11,0.2204300521214803,0.6
12,0.000499962681486843,12,0.21210964234670004,0.59
13,0.0004999555880952023,13,0.2035196777979533,0.648
14,0.0004999478779629953,14,0.19520499992370605,0.662
15,0.000499939551109246,15,0.18461961015065512,0.686
