step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.4031762679417928,0.0
2,0.0004999999722361857,2,0.35697535673777264,0.3333333333333333
3,0.0004999998889447489,3,0.3180784583091736,1.0
4,0.000499999750125708,4,0.27600963910420734,1.0
5,0.0004999995557790939,5,0.22804484764734903,1.0
6,0.0004999993059049497,6,0.19086764256159464,1.0
7,0.0004999990005033311,7,0.1718519926071167,1.0
8,0.0004999986395743058,8,0.1357550323009491,1.0
9,0.0004999982231179539,9,0.12788847088813782,1.0
10,0.000499997751134368,10,0.09217108289400737,1.0
11,0.0004999972236236529,11,0.08884162704149882,1.0
12,0.0004999966405859257,12,0.07203568518161774,1.0
13,0.000499996002021316,13,0.07077811658382416,1.0
14,0.0004999953079299655,14,0.05623370409011841,1.0
15,0.0004999945583120286,15,0.04755896826585134,1.0
16,0.0004999937531676716,16,0.030780911445617676,1.0
17,0.0004999928924970733,17,0.030190246800581615,1.0
18,0.000499991976300425,18,0.01940058668454488,1.0
19,0.0004999910045779302,19,0.017809102932612102,1.0
20,0.0004999899773298047,20,0.012808119257291159,1.0
21,0.0004999888945562765,21,0.010882207502921423,1.0
22,0.0004999877562575864,22,0.008988996346791586,1.0
23,0.000499986562433987,23,0.00802573375403881,1.0
24,0.0004999853130857434,24,0.008108685413996378,1.0
25,0.0004999840082131334,25,0.007270556564132373,1.0
