step,lr,epoch,train_loss,train_acc,train_f1,mixup_e
1,0.001,1,1.3990093412907538,0.6874126251808086,0.23453373000582722,true
2,0.0009999975326009292,2,1.0158850770817238,0.8369143953270981,0.29583983831045746,true
3,0.0009999901304280684,3,0.932827975596392,0.8609484327467719,0.3004852944746528,true
4,0.000999977793554475,4,0.8906654864218184,0.8593904357225107,0.302252454623172,true
5,0.0009999605221019082,5,0.815963373602132,0.8745464570588652,0.3099280072112677,true
6,0.0009999383162408303,6,0.797258523747699,0.8745144842280214,0.31625118729725293,true
7,0.0009999111761904045,7,0.745695462486997,0.8941730363071682,0.29906695298816455,true
8,0.000999879102218492,8,0.7420311531570226,0.8818222638389549,0.3296572243476231,true
9,0.00099984209464165,9,0.7274506143209932,0.8846232998554573,0.33148714944586566,true
10,0.000999800153825128,10,0.7100193979988637,0.8783295673098662,0.30744029646599397,true
11,0.0009997532801828656,11,0.7580825723550405,0.8766294552360034,0.3077408313582574,true
12,0.0009997014741774863,12,0.7213787830737993,0.8892108405181318,0.3354458106889146,true
13,0.0009996447363202945,13,0.6657065729118897,0.897445164534631,0.3239433924555562,true
14,0.00099958306717127,14,0.7005151540705228,0.8893312617173841,0.33636244568476414,true
15,0.0009995164673390624,15,0.6961969198936654,0.8907503150303726,0.3282700181287471,true
16,0.0009994449374809851,16,0.7157722531171732,0.8892382524748289,0.3270911287946231,true
17,0.0009993684783030088,17,0.6796230591894132,0.8931728762014026,0.33437563194041076,true
18,0.0009992870905597548,18,0.6907235243674754,0.891236560788112,0.33162785944132284,true
19,0.0009992007750544874,19,0.664179017109901,0.8961141625612634,0.33538447427591633,true
20,0.0009991095326391058,20,0.6748135461263507,0.8886901048163895,0.32561014569091934,true
21,0.0009990133642141356,21,0.7151428368538679,0.8901260338226142,0.3279525322379847,true
22,0.0009989122707287207,22,0.6188530015568796,0.8984064841336467,0.35074419765431547,true
23,0.0009988062531806124,23,0.6710728982605446,0.8922062504604859,0.3336957960934825,true
24,0.0009986953126161617,24,0.6608812048245918,0.8908354889827567,0.33100241047049445,true
25,0.0009985794501303066,25,0.6528034178115056,0.9007619021564331,0.3382777840225105,true
26,0.0009984586668665637,26,0.6321843554674997,0.9052353152036504,0.35217850017787505,true
27,0.0009983329640170144,27,0.6287987722379275,0.9009881908155786,0.3605192136501884,true
28,0.0009982023428222956,28,0.6226949939563707,0.9021955584748106,0.33401081463345966,true
29,0.0009980668045715857,29,0.6009608362818918,0.900306150599265,0.34809039446470624,true
30,0.0009979263506025922,30,0.6143800475823148,0.8943249370275892,0.3470778270338347,true
31,0.0009977809823015393,31,0.6484915786889317,0.892675564981653,0.3329798131615559,true
32,0.0009976307011031536,32,0.5699876672432921,0.9097015919928447,0.3355839423508789,true
33,0.0009974755084906496,33,0.628928791037744,0.8854440292707503,0.3369241770445145,true
34,0.0009973154059957155,34,0.6246400032532545,0.8938933282926894,0.3383050626100739,true
35,0.0009971503951984987,35,0.6187017541998518,0.895774841828095,0.3448648160919633,true
36,0.0009969804777275892,36,0.596158898583207,0.9009330748992218,0.3348743404716407,true
37,0.0009968056552600035,37,0.6350345552194903,0.8967150105420922,0.3628935794533311,true
38,0.000996625929521169,38,0.6060222576620619,0.900591949635365,0.34673695254182757,true
39,0.0009964413022849061,39,0.5870955400847021,0.9008110986164378,0.34128874414309346,true
40,0.0009962517753734112,40,0.561028781139692,0.9097824308376424,0.34742295464093376,true
41,0.0009960573506572383,41,0.5691512299145965,0.8992372926946418,0.36193454667241387,true
42,0.0009958580300552808,42,0.5699704594075087,0.9026268826962232,0.3423891806183218,true
43,0.0009956538155347526,43,0.5996024916389461,0.9024975117035723,0.35010358430992516,true
44,0.0009954447091111687,44,0.5595418303843726,0.9088448288924598,0.3646478379656874,true
45,0.0009952307128483248,45,0.5383602194327396,0.9125750517140581,0.37287042528520914,true
46,0.000995011828858278,46,0.5421679296778823,0.9114588345654018,0.3535087465645463,true
47,0.0009947880593013246,47,0.5694373602862581,0.8984760267929666,0.33815059556981397,true
48,0.00099455940638598,48,0.5665607386913781,0.893981419504027,0.36297285727504336,true
49,0.0009943258723689563,49,0.5509409512567739,0.9099600337064565,0.35082312326471893,true
50,0.0009940874595551397,50,0.5397579110568659,0.9069147338565877,0.37404082953753764,true
51,0.0009938441702975682,51,0.5542494180529445,0.9123908575006813,0.36129789790510797,true
52,0.000993596006997409,52,0.5327368238752702,0.9022759564795536,0.3614012473070742,true
53,0.0009933429721039333,53,0.5315937134458613,0.910089902944044,0.35075536084240405,true
54,0.0009930850681144938,54,0.5485872321787638,0.8983750272540716,0.35388564804302963,true
55,0.0009928222975744982,55,0.5664357214082445,0.9025018404472691,0.3676175532877956,true
56,0.000992554663077386,56,0.5267467400933141,0.9167218232339919,0.3535523632505058,true
57,0.0009922821672646018,57,0.5603902572736775,0.8944955037722353,0.34529837499991667,true
58,0.0009920048128255691,58,0.5225866941906032,0.9092778787669628,0.36067663583641474,true
59,0.0009917226024976642,59,0.5201520544027275,0.9110518856863336,0.33924227868071605,true
60,0.0009914355390661888,60,0.5422170857568157,0.9058240093674682,0.3421907658850209,true
61,0.0009911436253643437,61,0.5563373970857702,0.9034780899910916,0.35566237189224903,true
62,0.0009908468642731987,62,0.5480255054774927,0.9036930533943383,0.36034000260495175,true
63,0.0009905452587216663,63,0.5177258123709269,0.9069996868045056,0.3514860810110421,true
64,0.0009902388116864716,64,0.5185414495164664,0.9067589754068855,0.36226643176459283,true
65,0.0009899275261921227,65,0.5169275298879011,0.903091130305789,0.36366845397015435,true
66,0.0009896114053108821,66,0.5124171639090525,0.9059384688143128,0.3595728276865428,true
67,0.0009892904521627353,67,0.5018204610083343,0.9107313331459582,0.3628996694772301,true
68,0.0009889646699153601,68,0.4778255291296321,0.916639961621219,0.3601898884599188,true
69,0.0009886340617840958,69,0.5311395875459209,0.8974940380813521,0.3560128894418507,true
70,0.0009882986310319113,70,0.5002715675119449,0.9061000233821254,0.35295306076456123,true
71,0.0009879583809693727,71,0.4788317476968758,0.9121084595523131,0.3613910977029789,true
72,0.0009876133149546106,72,0.5539953203920803,0.9013784763475234,0.3523367680807752,true
73,0.0009872634363932876,73,0.5419776497569485,0.9085655403535491,0.3545244819454039,true
74,0.0009869087487385634,74,0.5051293108189359,0.9005967862347705,0.348435554842181,true
75,0.0009865492554910623,75,0.5211746920750964,0.8966716756573483,0.3445540528452658,true
76,0.0009861849601988373,76,0.5140328582321619,0.8962363382459223,0.35628993640064494,true
77,0.000985815866457336,77,0.4910682886940378,0.9117227122962132,0.35484356915365567,true
78,0.0009854419779093645,78,0.46802396516895384,0.9153462507855827,0.342678598161935,true
79,0.000985063298245052,79,0.4884781451540959,0.9003464818146903,0.3680862855987734,true
80,0.0009846798312018136,80,0.44785757479662686,0.9178339905678006,0.3689516468360084,true
81,0.0009842915805643145,81,0.4522760863029019,0.9155608101034842,0.3402356817791348,true
82,0.0009838985501644318,82,0.4897647780677021,0.9042645831954231,0.35903637227019203,true
83,0.0009835007438812166,83,0.42760923437050735,0.9122579774073419,0.3496588513013628,true
84,0.0009830981656408565,84,0.4966930370272042,0.908207231570353,0.36638581005725523,true
85,0.0009826908194166361,85,0.4754891403496652,0.9158305853850139,0.3426284783989754,true
86,0.000982278709228898,86,0.4819694689791106,0.9019997889955855,0.3721462891270532,true
87,0.000981861839145004,87,0.44293592896278144,0.9234953915852598,0.3728544762549184,true
88,0.000981440213279293,88,0.4828673713181486,0.9128236829073767,0.36998251817018185,true
89,0.000981013835793042,89,0.49136626655220245,0.8980288701449441,0.3691815081280205,true
90,0.000980582710894425,90,0.4537619250821507,0.9121465829742486,0.3522736684323396,true
91,0.0009801468428384706,91,0.4360450349440019,0.9174646490728153,0.3436142824082119,true
92,0.0009797062359270204,92,0.4464004084165522,0.9048940347388121,0.3537869716692535,true
93,0.000979260894508687,93,0.4379888522535139,0.90585625398402,0.3670622553278965,true
94,0.0009788108229788102,94,0.4240291103009733,0.9086711780856852,0.4165342145730073,true
95,0.0009783560257794143,95,0.48757690219476213,0.9039128345650721,0.371518725726164,true
96,0.000977896507399164,96,0.45399935863828567,0.900331348138832,0.3747620358342629,true
97,0.0009774322723733204,97,0.504661196317116,0.8959647265276727,0.3745666946661436,true
98,0.0009769633252836956,98,0.49249421646485797,0.8988899195198032,0.358533856574994,true
99,0.0009764896707586083,99,0.43017254477684136,0.9105661243201655,0.3583444051446198,true
100,0.0009760113134728371,100,0.42957134561016164,0.9177324632373387,0.3853121511685827,true
101,0.0009755282581475756,101,0.485585573501775,0.90369726239301,0.37383999161631004,true
102,0.0009750405095503846,102,0.44629055109279037,0.908158255075812,0.36989801970406544,true
103,0.0009745480724951461,103,0.47278024323940426,0.9040782440049091,0.3378886446856627,true
104,0.0009740509518420147,104,0.41536194324179543,0.9165845834000511,0.36728083235473213,true
105,0.0009735491524973707,105,0.44831039972623277,0.9160184261071449,0.3591137282536637,true
106,0.0009730426794137714,106,0.47420716717540934,0.903136350287198,0.3626053912535471,true
107,0.0009725315375899012,107,0.4524849996168921,0.9115489554246116,0.3607928866099702,true
108,0.0009720157320705237,108,0.44155035082126876,0.9076372813126476,0.3664444608033014,true
109,0.0009714952679464311,109,0.3851449130481541,0.911689704662283,0.372099050428701,true
110,0.000970970150354394,110,0.3930166614240165,0.917698644142544,0.3997508866701099,true
111,0.0009704403844771115,111,0.48433243824937894,0.9020363664252602,0.3717973549206059,true
112,0.0009699059755431586,112,0.4534976129106871,0.9142203579271931,0.3625554831258628,true
113,0.0009693669288269359,113,0.41544950110533846,0.9066112478395538,0.37022284850997533,true
114,0.0009688232496486166,114,0.40003113816938074,0.9143680468782694,0.3881550636361311,true
115,0.0009682749433740951,115,0.43045859093012157,0.9065007673822273,0.37685127903117965,true
116,0.0009677220154149325,116,0.41622632534398196,0.9074320328847664,0.36725273949103976,true
117,0.0009671644712283048,117,0.3792749694734778,0.9097236723520822,0.4403826736717749,true
118,0.000966602316316948,118,0.38437630965818026,0.9182784062625872,0.40903624169370195,true
119,0.0009660355562291042,119,0.4139184708726017,0.9092728803429354,0.37217482814300373,true
120,0.0009654641965584666,120,0.41226329318977817,0.906992133560191,0.3871717567939085,true
121,0.0009648882429441245,121,0.3686404990876082,0.9142911151153663,0.3799371227054171,true
122,0.0009643077010705074,122,0.41162303393408456,0.8973858844265805,0.4083261166856647,true
123,0.0009637225766673293,123,0.3426569922760767,0.9257013888131571,0.3890318881443516,true
124,0.000963132875509532,124,0.37052895697844573,0.9114293827872675,0.5177810393044682,true
125,0.0009625386034172276,125,0.34315027045383234,0.9218627570452425,0.3856647445178941,true
126,0.000961939766255642,126,0.37330189126343855,0.9170491537064418,0.37904902805143337,true
127,0.0009613363699350561,127,0.3834764847791581,0.9115784502780531,0.3637015720637279,true
128,0.0009607284204107479,128,0.389740057981254,0.9072737279700878,0.3679098218360473,true
129,0.0009601159236829338,129,0.3347155911100236,0.9296830409480871,0.36980964974769975,true
130,0.0009594988857967092,130,0.4124489737555964,0.9048299862591795,0.38749979863083456,true
131,0.0009588773128419891,131,0.3929532616390308,0.9091579533883082,0.3690006742189306,true
132,0.0009582512109534474,132,0.36531880616020873,0.9161383513559241,0.37629080063751497,true
133,0.0009576205863104573,133,0.355177278771176,0.9211552846912812,0.41722228787988563,true
134,0.0009569854451370291,134,0.4028476444308716,0.9103782539864665,0.383245453607885,true
135,0.00095634579370175,135,0.3978895213120296,0.9069638578894677,0.3901351010170498,true
136,0.0009557016383177212,136,0.36811599800096584,0.9060028380426407,0.3852831517306639,true
137,0.0009550529853424964,137,0.3833236321749411,0.9167884667519623,0.3712720599369442,true
138,0.0009543998411780187,138,0.35892651737929526,0.9137472057208325,0.3616088896304082,true
139,0.000953742212270557,139,0.3605846302759095,0.9201173680612983,0.37882083598797184,true
140,0.0009530801051106435,140,0.3823014075445779,0.898260307883463,0.41093784586497584,true
141,0.0009524135262330084,141,0.3823036113356087,0.9038823469015574,0.3817652442932724,true
142,0.0009517424822165161,142,0.34784208639453046,0.9170090100309474,0.45646799439881197,true
143,0.0009510669796841,143,0.3605657097019336,0.9152979620240388,0.36026202716923317,true
144,0.0009503870253026977,144,0.40068466618499504,0.9099066296764085,0.37061881127275026,true
145,0.0009497026257831842,145,0.3699326531567453,0.9146278235800739,0.3817488070677034,true
146,0.0009490137878803065,146,0.34613655746007477,0.9236335391176613,0.36998609398418275,true
147,0.0009483205183926168,147,0.35403815910732206,0.9082650814916171,0.35475192926168553,true
148,0.0009476228241624046,148,0.3403535830810341,0.9086511440849416,0.38171173152204546,true
149,0.0009469207120756306,149,0.4030083025533768,0.9104952280355477,0.3672537573668131,true
150,0.0009462141890618578,150,0.364671390054662,0.9149174547167295,0.3713063008013911,true
151,0.0009455032620941827,151,0.3409253875944178,0.9189301820277324,0.3772446953295403,true
152,0.0009447879381891678,152,0.36994960256097775,0.9131497480480858,0.401549316669605,true
153,0.000944068224406771,153,0.3294654582400977,0.9145317632637161,0.4095866940119877,true
154,0.0009433441278502771,154,0.36563546940906866,0.9201857362799403,0.3748873947789784,true
155,0.0009426156556662263,155,0.36208570134467116,0.9098215097521485,0.39759533604878955,true
156,0.0009418828150443455,156,0.31480015106686904,0.9135380448428776,0.5311583015255722,true
157,0.0009411456132174754,157,0.3108325223282228,0.9226857874179061,0.3875428688363837,true
158,0.0009404040574615006,158,0.36465112707294434,0.9011922556032816,0.3660310018086291,true
159,0.0009396581550952768,159,0.332401385479505,0.9118842269057255,0.37273731111481706,true
160,0.0009389079134805596,160,0.33632109323910087,0.9203022276258289,0.3641440582399884,true
161,0.0009381533400219305,161,0.37449360405047527,0.9076721181535727,0.41450623545899257,true
162,0.0009373944421667251,162,0.33128076088272107,0.9169476886728314,0.4002125897259065,true
163,0.0009366312274049588,163,0.28480191169137276,0.9249473459045585,0.40165685687680786,true
164,0.0009358637032692533,164,0.32800013953452484,0.9140339314604786,0.3792137032848724,true
165,0.0009350918773347616,165,0.3640745447182429,0.9073531990548259,0.3947898861670544,true
166,0.0009343157572190944,166,0.2965131830631228,0.9142113167015844,0.5256350520559379,true
167,0.0009335353505822438,167,0.35463296845430164,0.9120021060990532,0.4047705438044734,true
168,0.0009327506651265082,168,0.3158175675384878,0.9155535812010815,0.3921483035848995,true
169,0.0009319617085964164,169,0.28807306746806843,0.9228857425182491,0.4089440906769838,true
170,0.0009311684887786508,170,0.34966728791213675,0.9066896923033496,0.37449460559871295,true
171,0.0009303710135019706,171,0.29493506971070754,0.9204945026802743,0.527826635097637,true
172,0.000929569290637135,172,0.33714860920694156,0.9104408873881391,0.41751600283465434,true
173,0.000928763328096825,173,0.3159359587110649,0.9158325357223706,0.4715413915528474,true
174,0.0009279531338355654,174,0.29067403975030504,0.921355154680012,0.3848344923163291,true
175,0.0009271387158496464,175,0.42466557801914334,0.905920839801054,0.38135967329131903,true
176,0.0009263200821770449,176,0.36759265690975657,0.9136222788444351,0.34798831508572026,true
177,0.0009254972408973448,177,0.3081272480768976,0.9220055054966745,0.3877059017092979,true
178,0.000924670200131657,178,0.3415669301130989,0.9043729788944591,0.3773991929913248,true
179,0.0009238389680425404,179,0.3034632625406234,0.9220488031072078,0.4006938231117819,true
180,0.0009230035528339198,180,0.28495034198012253,0.9151640379064672,0.420700140207364,true
181,0.0009221639627510063,181,0.37164842895732236,0.9019165165474458,0.38212061572416367,true
182,0.000921320206080215,182,0.30695114298925086,0.9217643602722658,0.37779457303651215,true
183,0.0009204722911490834,183,0.3073565095608618,0.9174779913353905,0.39410213619420825,true
184,0.0009196202263261897,184,0.3349639358539015,0.9160831316259122,0.4163157117065284,true
185,0.0009187640200210698,185,0.30641553910517044,0.9132893158101674,0.4381776336136631,true
186,0.000917903680684134,186,0.32455373838678503,0.9234751265796521,0.46906477524832313,true
187,0.0009170392168065844,187,0.2964817156318562,0.9173550408579931,0.448005476980729,true
188,0.0009161706369203305,188,0.27379554946568607,0.9189036724446088,0.4165306329748827,true
189,0.0009152979495979051,189,0.3264060483533388,0.9110371062237057,0.414718206286366,true
190,0.0009144211634523797,190,0.3279518195893806,0.9114501548693321,0.3848103435802847,true
191,0.0009135402871372796,191,0.28989223152340887,0.9170263632323642,0.42374104400667495,true
192,0.0009126553293464986,192,0.2654034434866984,0.9219806911758215,0.45443424779007213,true
