step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.37629791100819904,0.6666666666666666
2,0.0004999999722361857,2,0.3626852830251058,1.0
3,0.0004999998889447489,3,0.3474176327387492,1.0
4,0.000499999750125708,4,0.3324425419171651,1.0
5,0.0004999995557790939,5,0.3140346209208171,1.0
6,0.0004999993059049497,6,0.297585388024648,1.0
7,0.0004999990005033311,7,0.2779759367307027,1.0
8,0.0004999986395743058,8,0.25912125905354816,1.0
9,0.0004999982231179539,9,0.24395535389582315,1.0
10,0.000499997751134368,10,0.20741053422292074,1.0
11,0.0004999972236236529,11,0.21389899651209512,1.0
12,0.0004999966405859257,12,0.1925991972287496,1.0
13,0.000499996002021316,13,0.1983440319697062,1.0
14,0.0004999953079299655,14,0.17236278454462686,1.0
15,0.0004999945583120286,15,0.1655732790629069,1.0
16,0.0004999937531676716,16,0.14539062976837158,1.0
17,0.0004999928924970733,17,0.1484025021394094,1.0
18,0.000499991976300425,18,0.145498126745224,1.0
19,0.0004999910045779302,19,0.12522471944491068,1.0
20,0.0004999899773298047,20,0.11980780959129333,1.0
21,0.0004999888945562765,21,0.10937675833702087,1.0
22,0.0004999877562575864,22,0.11626484990119934,1.0
23,0.000499986562433987,23,0.09575226902961731,1.0
24,0.0004999853130857434,24,0.0941019852956136,1.0
25,0.0004999840082131334,25,0.09291986624399821,1.0
