step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.3811324682235718,0.202
2,0.0004999996915749259,2,0.3720349146525065,0.304
3,0.0004999987663004646,3,0.3635987695058187,0.292
4,0.000499997224178899,4,0.35606299463907876,0.342
5,0.0004999950652140343,5,0.34926082102457684,0.332
6,0.0004999922894111975,6,0.3426624069213867,0.388
7,0.0004999888967772375,7,0.338039008140564,0.41
8,0.0004999848873205254,8,0.3325745264689128,0.422
9,0.0004999802610509541,9,0.3279480586051941,0.46
10,0.0004999750179799384,10,0.3234721253712972,0.444
11,0.0004999691581204152,11,0.3197132406234741,0.496
12,0.000499962681486843,12,0.31518707211812336,0.518
13,0.0004999555880952023,13,0.31196569283803305,0.53
14,0.0004999478779629953,14,0.30865956020355223,0.53
15,0.000499939551109246,15,0.3032286187807719,0.568
